listing,address,city,neighbourhood,beds,baths,property_type,unit_type,sold_date,sell_price,ask_price_final,ask_price_orig,sqft,age,property_tax,ownership_type,maintenance_fee,rules,zoning
R2438661,# 303 1880 E KENT AVENUE SOUTH,Vancouver,South Marine,1,1,Apartment,Inside Unit,2020-03-03,445000,399900,399900,700,25,1289.81,Freehold Strata,284.72,"Pets Allowed with Restrictions, Rentals Allowed",CD-1
R2425478,# 305 5280 OAKMOUNT CRESCENT,Burnaby,Oaklands,2,1,Apartment,1 Storey,2020-01-12,595000,619000,619000,1134,25,2565.99,Freehold Strata,464.09,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2428720,# 404 5262 OAKMOUNT CRESCENT,Burnaby,Oaklands,2,1,Apartment,"Inside Unit, Upper Unit",2020-01-29,590000,617000,599999,1111,26,2547.5,Freehold Strata,345.35,"Pets Allowed, Rentals Not Allowed",MF
R2441751,# 300 6388 MARLBOROUGH AVENUE,Burnaby,Forest Glen BS,2,2,Apartment,Corner Unit,2020-03-08,550000,549000,549000,974,28,2295.64,Freehold Strata,267.24,"Pets Not Allowed, Rentals Allowed with Restrictions",MF
R2413447,# 309 5355 LANE STREET,Burnaby,Metrotown,2,2,Apartment,1 Storey,2020-01-16,585000,628000,628000,754,1,,Freehold Strata,298.25,"Pets Allowed, Rentals Allowed",C9A
R2448035,# 415 6888 ROYAL OAK AVENUE,Burnaby,Metrotown,1,1,Apartment,Penthouse,2020-03-30,470000,499000,499000,714,8,2255.68,Freehold Strata,200.0,No Restrictions,CD
R2394756,# 207 6875 DUNBLANE AVENUE,Burnaby,Metrotown,2,2,Apartment,Corner Unit,2020-01-08,593000,625000,625000,769,4,2259.09,Freehold Strata,217.0,"Pets Allowed with Restrictions, Rentals Allowed",MF
R2425304,# 2406 5051 IMPERIAL STREET,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-01-01,570000,589000,589000,546,1,,Freehold Strata,260.0,No Restrictions,STRATA
R2437176,# 1505 4888 HAZEL STREET,Burnaby,Forest Glen BS,2,1,Apartment,"Corner Unit, Upper Unit",2020-02-23,545000,549900,549900,789,24,2545.59,Freehold Strata,287.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2428654,# 2107 4808 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,Inside Unit,2020-02-03,520000,549900,549900,555,12,2217.82,Freehold Strata,179.24,"Pets Allowed with Restrictions, Rentals Allowed",APT
R2433969,# 410 4825 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,Inside Unit,2020-02-25,528000,545000,545000,918,29,2245.3,Freehold Strata,340.46,"Pets Not Allowed, Rentals Not Allowed, Smoking Restrictions",CD
R2449653,# 1002 4688 KINGSWAY,Burnaby,Metrotown,1,1,Apartment,Inside Unit,2020-04-15,593000,625000,625000,622,5,2531.74,Freehold NonStrata,281.83,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",APT
R2448136,# 305 4625 GRANGE AVENUE,Burnaby,Central Park BS,1,1,Apartment,"Inside Unit, Upper Unit",2020-04-13,403000,428000,428000,739,45,1682.0,Freehold Strata,247.0,"Pets Allowed, Rentals Allowed",RM3
R2459529,# 1505 4505 HAZEL STREET,Burnaby,Forest Glen BS,2,1,Apartment,Corner Unit,2020-06-01,535500,549000,549000,715,22,2138.72,Freehold Strata,258.95,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2426751,# PH22 5248 GRIMMER STREET,Burnaby,Metrotown,1,1,Apartment,Penthouse,2020-01-10,445000,449900,449900,595,7,2029.07,Freehold Strata,172.55,"Pets Allowed, Rentals Allowed with Restrictions",CD
R2428321,# 218 5248 GRIMMER STREET,Burnaby,Metrotown,2,2,Apartment,Inside Unit,2020-01-31,573000,575000,575000,800,7,2367.16,Freehold Strata,232.16,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2449249,# PH05 5288 GRIMMER STREET,Burnaby,Metrotown,1,1,Apartment,"Penthouse, Upper Unit",2020-04-24,465000,489000,489000,620,5,2142.1,Freehold Strata,192.54,"Pets Allowed, Rentals Allowed",CD
R2407140,# 312 5211 GRIMMER STREET,Burnaby,Metrotown,2,2,Apartment,"Inside Unit, Upper Unit",2019-12-23,600000,609900,628000,907,11,1778.91,Freehold Strata,382.86,"Pets Allowed with Restrictions, Rentals Allowed",MF
R2444417,# 202 5211 GRIMMER STREET,Burnaby,Metrotown,1,1,Apartment,Inside Unit,2020-03-13,438000,448000,448000,619,11,1980.5,Freehold Strata,265.0,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2443949,# 303 5211 GRIMMER STREET,Burnaby,Metrotown,1,1,Apartment,Inside Unit,2020-03-15,460000,438000,438000,645,11,2018.86,Freehold Strata,273.48,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions","CD, C9"
R2434620,# 2101 6540 BURLINGTON AVENUE,Burnaby,Metrotown,2,1,Apartment,Inside Unit,2020-04-29,520000,555000,555000,1085,37,2349.84,Freehold Strata,315.24,"Pets Allowed, Rentals Allowed with Restrictions",CD
R2412518,# 401 6540 BURLINGTON AVENUE,Burnaby,Metrotown,2,1,Apartment,1 Storey,2019-12-30,463000,479900,499900,1012,37,2003.21,Freehold Strata,293.35,"Pets Allowed with Restrictions, Rentals Not Allowed",STRATA
R2439091,# 405 6540 BURLINGTON AVENUE,Burnaby,Metrotown,2,1,Apartment,Corner Unit,2020-03-12,490000,480000,480000,1057,37,2153.79,Freehold Strata,298.66,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2427129,# 2505 6540 BURLINGTON AVENUE,Burnaby,Metrotown,2,1,Apartment,Upper Unit,2020-02-18,500000,549000,549000,1190,37,2582.79,Freehold Strata,345.99,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2448449,# 3308 4900 LENNOX LANE,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-04-14,565000,588000,588000,548,3,1802.19,Freehold Strata,174.17,"Pets Allowed with Restrictions, Rentals Allowed",APT
R2448712,# 3204 4900 LENNOX LANE,Burnaby,Metrotown,1,1,Apartment,Upper Unit,2020-06-10,530500,538000,549000,503,3,2349.84,Freehold Strata,160.51,"Pets Allowed, Rentals Allowed",CD
R2450425,# 3904 4900 LENNOX LANE,Burnaby,Metrotown,1,1,Apartment,Upper Unit,2020-05-03,541000,548000,548000,503,3,2372.56,Freehold Strata,,No Restrictions,CD
R2441150,# 1607 4900 LENNOX LANE,Burnaby,Metrotown,1,1,Apartment,"5 Plus Level, Other",2020-03-09,546000,549900,549900,512,3,2236.2,Freehold Strata,163.92,"Pets Allowed, Rentals Allowed",STRATA
R2453791,# 701 6588 NELSON AVENUE,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-05-24,588000,599900,599900,611,5,2281.64,Freehold Strata,216.27,"Pets Allowed, Rentals Allowed",CD
R2466106,# 2103 6588 NELSON AVENUE,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-06-23,540000,583000,583000,540,5,2290.18,Freehold Strata,193.1,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2435713,# 3603 6588 NELSON AVENUE,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-02-18,562388,578000,578000,540,5,2369.73,Freehold Strata,193.1,No Restrictions,APT
R2435720,# 3003 6588 NELSON AVENUE,Burnaby,Metrotown,1,1,Apartment,"1 Storey, Upper Unit",2020-02-22,575000,618000,618000,540,5,2344.16,Freehold Strata,193.1,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2443753,# 1707 6070 MCMURRAY AVENUE,Burnaby,Forest Glen BS,2,2,Apartment,Other,2020-05-21,600000,625000,650000,1070,33,2559.0,Freehold Strata,450.0,"Pets Not Allowed, Rentals Not Allowed",RM
R2426537,# 604 6055 NELSON AVENUE,Burnaby,Forest Glen BS,1,1,Apartment,1 Storey,2020-01-09,470000,478000,478000,816,32,2029.69,Freehold Strata,300.0,"Pets Not Allowed, Rentals Not Allowed",CD RMS
R2463447,# 911 4670 ASSEMBLY WAY,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-06-10,576000,599000,599000,588,2,2267.14,Freehold Strata,234.04,"Pets Allowed with Restrictions, Rentals Allowed",MULTI
R2424786,# 1003 4670 ASSEMBLY WAY,Burnaby,Metrotown,1,1,Apartment,1 Storey,2019-12-25,503000,488800,488800,513,2,2108.04,Freehold Strata,200.0,"Pets Allowed with Restrictions, Rentals Allowed",CD1
R2434889,# 1503 4657 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,"Corner Unit, Upper Unit",2020-03-26,531500,549900,549900,769,27,2351.37,Freehold Strata,226.54,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM-5
R2432175,# 404 4657 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,1 Storey,2020-03-30,423000,449000,480000,686,27,2081.47,Freehold Strata,195.92,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2402094,# 605 4689 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,Inside Unit,2020-01-26,471000,499900,519000,700,26,2092.83,Freehold Strata,197.13,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2441875,# 503 4657 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,Corner Unit,2020-05-11,480000,519999,489999,769,27,1446.83,Freehold Strata,226.54,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM-5
R2441596,# 1602 4657 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,"1 Storey, Upper Unit",2020-06-03,494000,519799,519799,705,26,,Freehold Strata,198.34,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",MF
R2435186,# 1402 4657 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,Upper Unit,2020-02-17,503000,519000,519000,705,27,2200.8,Freehold Strata,198.34,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2448146,# 138 7388 MACPHERSON AVENUE,Burnaby,Metrotown,2,1,Apartment,"Corner Unit, Ground Level Unit",2020-04-26,570000,599900,599900,913,14,2454.44,Freehold Strata,235.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2429236,# 203 7326 ANTRIM AVENUE,Burnaby,Metrotown,1,1,Apartment,Inside Unit,2020-01-27,425000,440000,440000,703,25,1879.4,Freehold Strata,281.33,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2435253,# 101 7188 ROYAL OAK AVENUE,Burnaby,Metrotown,0,1,Apartment,1 Storey,2020-03-16,320000,348800,368800,474,27,1487.13,Freehold Strata,205.07,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2437573,# 111 7117 ANTRIM AVENUE,Burnaby,Metrotown,2,2,Apartment,Corner Unit,2020-03-04,560000,578000,599800,1030,24,2408.24,Freehold Strata,358.43,"Pets Allowed, Rentals Allowed with Restrictions",RES
R2421193,# 210 5375 VICTORY STREET,Burnaby,Metrotown,2,2,Apartment,1 Storey,2019-12-28,519000,529900,529900,1002,28,2250.67,Freehold Strata,411.01,Pets Not Allowed,CD
R2463959,# 206 5885 IRMIN STREET,Burnaby,Metrotown,2,2,Apartment,Other,2020-06-15,545000,548800,548800,808,11,2339.21,Freehold Strata,361.08,"No Restrictions, Pets Allowed, Rentals Allowed",CD
R2435866,# 412 5889 IRMIN STREET,Burnaby,Metrotown,1,1,Apartment,Penthouse,2020-02-16,460000,458900,458900,611,11,2046.57,Freehold Strata,239.4,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2428977,# 305 5885 IRMIN STREET,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-01-18,462500,458800,458800,611,11,2009.63,Freehold Strata,239.4,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2435097,# 105 5788 SIDLEY STREET,Burnaby,Metrotown,2,2,Apartment,"Ground Level Unit, Inside Unit",2020-05-29,575000,618000,618000,808,8,2427.36,Freehold Strata,306.72,"Pets Allowed, Rentals Allowed",RM3
R2446778,# 227 5788 SIDLEY STREET,Burnaby,Metrotown,1,1,Apartment,Upper Unit,2020-05-14,385000,418800,418800,464,8,1765.39,Freehold Strata,175.85,,RM3
R2426505,# 304 5788 SIDLEY STREET,Burnaby,Metrotown,1,1,Apartment,Upper Unit,2020-01-12,395000,398000,398000,462,8,1626.68,Freehold Strata,175.85,"Pets Allowed, Rentals Allowed",RM3
R2462799,# 302 7337 MACPHERSON AVENUE,Burnaby,Metrotown,2,1,Apartment,Corner Unit,2020-06-10,583000,599000,599000,875,12,2425.08,Freehold Strata,311.0,No Restrictions,CD
R2454418,# 310 7337 MACPHERSON AVENUE,Burnaby,Metrotown,2,1,Apartment,Corner Unit,2020-05-14,586500,589000,589000,910,12,2501.8,Freehold Strata,331.69,"Pets Allowed with Restrictions, Rentals Allowed",STRATA
R2444767,# 311 5350 VICTORY STREET,Burnaby,Metrotown,2,2,Apartment,Upper Unit,2020-03-16,571500,569000,569000,985,31,2343.88,Freehold Strata,254.05,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2437109,# 201 5350 VICTORY STREET,Burnaby,Metrotown,2,2,Apartment,1 Storey,2020-02-20,530000,549000,549000,1010,30,2372.01,Freehold Strata,256.55,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2434060,# 305 5350 VICTORY STREET,Burnaby,Metrotown,2,2,Apartment,1 Storey,2020-02-22,548500,569000,569000,1069,31,2422.57,Freehold Strata,275.22,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2425916,# 109 5250 VICTORY STREET,Burnaby,Metrotown,2,2,Apartment,Other,2020-01-18,570000,575000,575000,980,29,2180.94,Freehold Strata,316.91,"Pets Allowed with Restrictions, Rentals Allowed",APT
R2431177,# 304 5250 VICTORY STREET,Burnaby,Metrotown,2,2,Apartment,Penthouse,2020-03-06,550000,565000,565000,1006,30,2220.74,Freehold Strata,308.33,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2447203,# 402 6689 WILLINGDON AVENUE,Burnaby,Metrotown,2,1,Apartment,Inside Unit,2020-05-04,423000,435000,435000,803,45,1946.68,Freehold Strata,330.25,"Pets Allowed, Rentals Allowed with Restrictions",CD
R2432470,# 1406 6595 WILLINGDON AVENUE,Burnaby,Metrotown,2,2,Apartment,1 Storey,2020-02-05,464900,464900,464900,905,37,2094.61,Freehold Strata,299.45,Rentals Allowed with Restrictions,CD
R2438616,# 908 6658 DOW AVENUE,Burnaby,Metrotown,1,1,Apartment,Upper Unit,2020-03-03,560000,599900,599900,600,6,2250.56,Freehold Strata,210.0,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2431538,# 803 6282 KATHLEEN AVENUE,Burnaby,Metrotown,2,1,Apartment,Corner Unit,2020-02-01,599900,599900,599900,1168,34,2514.37,Freehold Strata,437.39,"Pets Not Allowed, Rentals Not Allowed",CDRM-5
R2426589,# 101 4155 CENTRAL BOULEVARD,Burnaby,Metrotown,1,1,Townhouse,,2020-02-03,450000,469000,469000,587,14,1968.04,Freehold Strata,185.52,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2417129,# 2803 6088 WILLINGDON AVENUE,Burnaby,Metrotown,1,1,Apartment,Corner Unit,2020-01-06,479738,520000,520000,769,20,2294.6,Freehold Strata,221.12,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2431667,# 401 4105 IMPERIAL STREET,Burnaby,Metrotown,2,2,Apartment,Corner Unit,2020-05-08,423000,439900,439900,904,44,1999.67,Freehold Strata,509.91,"Pets Not Allowed, Rentals Allowed with Restrictions",RM4
R2437149,# 805 4105 IMPERIAL STREET,Burnaby,Metrotown,1,1,Apartment,Corner Unit,2020-05-10,355000,369900,388000,645,44,1709.03,Freehold Strata,355.0,"Pets Not Allowed, Rentals Allowed with Restrictions",RM4
R2461930,# 2803 6463 SILVER AVENUE,Burnaby,Metrotown,1,1,Apartment,"1 Storey, Inside Unit",2020-06-09,493000,493900,493900,393,0,,Freehold Strata,209.68,"Pets Allowed, Rentals Allowed",RM4
R2460992,# 2203 6463 SILVER AVENUE,Burnaby,Metrotown,0,1,Apartment,"1 Storey, Inside Unit",2020-06-04,479900,479900,479900,393,0,1331.44,Freehold Strata,209.68,"Pets Allowed, Rentals Allowed",RM4
R2449398,# 3906 6333 SILVER AVENUE,Burnaby,Metrotown,1,1,Apartment,Other,2020-04-16,558000,563900,563900,511,5,2383.96,Freehold Strata,213.61,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD1
R2453530,# 1003 6333 SILVER AVENUE,Burnaby,Metrotown,1,1,Apartment,Inside Unit,2020-06-03,515000,529000,529000,510,5,2222.02,Freehold Strata,210.0,Pets Allowed with Restrictions,CD
R2442637,# 3206 6333 SILVER AVENUE,Burnaby,Metrotown,1,1,Apartment,"1 Storey, Upper Unit",2020-03-17,535000,569000,569000,510,5,1660.75,Freehold Strata,213.61,Rentals Allowed,APT
R2439916,# 1706 6333 SILVER AVENUE,Burnaby,Metrotown,1,1,Apartment,Inside Unit,2020-03-15,535000,559900,575000,512,5,2275.99,Freehold Strata,213.61,"Pets Allowed, Rentals Allowed with Restrictions",CD
R2443472,# 3503 6333 SILVER AVENUE,Burnaby,Metrotown,1,1,Apartment,"1 Storey, Upper Unit",2020-03-19,536800,489000,489000,517,5,2392.48,Freehold Strata,213.61,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",STRATA
R2436735,# 3506 6333 SILVER AVENUE,Burnaby,Metrotown,1,1,Apartment,"Inside Unit, Upper Unit",2020-02-27,556500,568000,568000,510,5,2372.59,Freehold Strata,213.61,"Pets Allowed with Restrictions, Rentals Allowed",CD1
R2441971,# 1805 4134 MAYWOOD STREET,Burnaby,Metrotown,2,2,Apartment,"Corner Unit, Upper Unit",2020-05-21,575000,584999,599999,942,35,2355.95,Freehold Strata,403.95,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2412849,# 704 4194 MAYWOOD STREET,Burnaby,Metrotown,1,1,Apartment,Inside Unit,2020-01-23,412500,429800,448500,746,35,1873.91,Freehold Strata,286.0,"Pets Not Allowed, Rentals Allowed with Restrictions",APT
R2447234,# 704 4134 MAYWOOD STREET,Burnaby,Metrotown,1,1,Apartment,Other,2020-04-01,414000,429900,429900,746,35,1887.16,Freehold Strata,302.96,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2426097,# 408 4194 MAYWOOD STREET,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-01-04,425000,429000,429000,711,35,1862.53,Freehold Strata,302.96,"Pets Not Allowed, Rentals Allowed with Restrictions, Smoking Restrictions",APT
R2441912,# 1203 4134 MAYWOOD STREET,Burnaby,Metrotown,2,2,Apartment,Upper Unit,2020-03-17,496000,499999,499999,942,35,2259.35,Freehold Strata,403.95,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2408991,# 905 4194 MAYWOOD STREET,Burnaby,Metrotown,2,1,Apartment,1 Storey,2019-12-28,470000,468000,499000,926,35,2138.13,Freehold Strata,392.2,"Pets Not Allowed, Rentals Allowed with Restrictions, Smoking Restrictions",CD
R2442170,# 1405 4134 MAYWOOD STREET,Burnaby,Metrotown,2,1,Apartment,Corner Unit,2020-03-07,500000,509900,509900,915,37,2196.84,Freehold Strata,403.95,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2453756,# 1503 4134 MAYWOOD STREET,Burnaby,Metrotown,2,2,Apartment,Corner Unit,2020-05-08,512500,512500,512500,943,37,2247.98,Freehold Strata,403.95,"Pets Not Allowed, Rentals Allowed with Restrictions",CD
R2407676,# 1204 4200 MAYBERRY STREET,Burnaby,Central Park BS,2,1,Apartment,Upper Unit,2020-02-07,460000,488000,488000,786,43,1991.08,Freehold Strata,399.12,"Pets Allowed with Restrictions, Rentals Allowed",RM
R2413220,# 510 4300 MAYBERRY STREET,Burnaby,Metrotown,2,2,Apartment,Corner Unit,2019-10-18,460000,499000,499000,950,43,2178.03,Freehold Strata,473.26,"Pets Not Allowed, Rentals Allowed",CD
R2450316,# 404 4105 MAYWOOD STREET,Burnaby,Metrotown,2,1,Apartment,1 Storey,2020-05-28,470000,479000,499000,783,43,1904.73,Freehold Strata,454.59,"Pets Not Allowed, Rentals Allowed",RM
R2424987,# 206 4105 MAYWOOD STREET,Burnaby,Metrotown,2,1,Apartment,"1 Storey, Corner Unit",2020-02-04,485000,499999,499999,783,43,1955.85,Freehold Strata,397.6,"Pets Not Allowed, Rentals Allowed",CD
R2421033,# 405 4689 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,1 Storey,2019-12-28,466000,490000,490000,700,26,2072.94,Freehold Strata,197.13,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2443810,# 121 5588 PATTERSON AVENUE,Burnaby,Central Park BS,1,1,Townhouse,,2020-03-16,448888,448000,448000,611,11,1908.68,Freehold Strata,180.08,"Pets Allowed, Rentals Allowed",CD RM3
R2408298,# 113 4255 SARDIS STREET,Burnaby,Central Park BS,1,1,Townhouse,,2020-01-07,442800,469000,469000,598,6,2120.8,Freehold Strata,133.24,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2426206,# 108 5565 BARKER AVENUE,Burnaby,Central Park BS,2,2,Apartment,"1 Storey, Ground Level Unit",2020-05-07,599900,599900,599900,1212,30,2361.63,Freehold Strata,355.0,"Pets Not Allowed, Rentals Not Allowed",CD
R2443962,# 107 5565 BARKER AVENUE,Burnaby,Central Park BS,2,2,Apartment,"3 Storey, Ground Level Unit",2020-03-23,580000,618000,618000,1207,30,2361.63,Freehold Strata,354.97,"Pets Not Allowed, Rentals Not Allowed",CD
R2463134,# 2104 5652 PATTERSON AVENUE,Burnaby,Central Park BS,2,1,Apartment,"Penthouse, Upper Unit",2020-06-12,555000,578888,578888,959,38,2069.69,Freehold Strata,392.15,Rentals Not Allowed,STRATA
R2453869,# 403 5645 BARKER AVENUE,Burnaby,Central Park BS,0,1,Apartment,"Inside Unit, Bachelor/Studio",2020-05-07,295000,299000,299000,519,46,1478.0,Freehold Strata,207.73,"Pets Not Allowed, Rentals Not Allowed",CD
R2430186,# 203 4160 SARDIS STREET,Burnaby,Central Park BS,1,1,Apartment,Inside Unit,2020-01-24,295000,298000,298000,498,43,1474.87,Freehold Strata,197.34,"Pets Not Allowed, Rentals Not Allowed",CD
R2437725,# 1703 4160 SARDIS STREET,Burnaby,Central Park BS,1,1,Apartment,Inside Unit,2020-02-22,310000,318000,318000,511,45,1537.38,Freehold Strata,192.09,"Pets Not Allowed, Rentals Not Allowed",CD
R2436349,# 1902 5645 BARKER AVENUE,Burnaby,Central Park BS,1,1,Apartment,"Corner Unit, Upper Unit",2020-02-20,375000,388000,388000,783,46,1964.38,Freehold Strata,302.02,"Pets Not Allowed, Rentals Not Allowed",CD-RM5
R2448997,# 204 4160 SARDIS STREET,Burnaby,Central Park BS,1,1,Apartment,Corner Unit,2020-05-10,400000,419900,419900,760,45,1745.63,Freehold Strata,316.38,"Pets Not Allowed, Rentals Not Allowed",CD
R2428179,# 1205 4160 SARDIS STREET,Burnaby,Central Park BS,1,1,Apartment,Upper Unit,2020-01-20,424000,424900,424900,715,45,1764.37,Freehold Strata,275.79,"Pets Not Allowed, Rentals Not Allowed",STRATA
R2428333,# 1406 4160 SARDIS STREET,Burnaby,Central Park BS,2,1,Apartment,Corner Unit,2020-01-21,470000,479000,479000,938,43,2049.63,Freehold Strata,357.0,"Pets Not Allowed, Rentals Not Allowed",CD
R2417528,# 507 5645 BARKER AVENUE,Burnaby,Central Park BS,2,2,Apartment,1 Storey,2020-01-22,485000,499000,499000,947,45,1975.75,Freehold Strata,365.0,"Pets Not Allowed, Rentals Not Allowed",STRATA
R2425550,# 1601 5652 PATTERSON AVENUE,Burnaby,Central Park BS,2,1,Apartment,"1 Storey, Upper Unit",2020-01-01,540000,568800,568800,918,39,2112.04,Freehold Strata,354.09,"Pets Not Allowed, Rentals Not Allowed",CDRM5
R2448891,# 2103 5652 PATTERSON AVENUE,Burnaby,Central Park BS,2,1,Apartment,Penthouse,2020-05-06,548000,575000,575000,1061,38,2271.0,Freehold Strata,422.51,"Pets Not Allowed, Rentals Not Allowed",CD
R2456638,# 301 5565 INMAN AVENUE,Burnaby,Central Park BS,1,1,Apartment,Corner Unit,2020-05-20,451000,435000,435000,734,30,1465.88,Freehold Strata,261.77,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
R2449470,# 210 5655 INMAN AVENUE,Burnaby,Central Park BS,1,1,Apartment,Inside Unit,2020-04-09,442000,448000,448000,607,8,2072.58,Freehold Strata,195.85,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2452076,# 208 3895 SANDELL STREET,Burnaby,Central Park BS,2,2,Apartment,Other,2020-05-08,598000,599000,599000,929,13,2474.03,Freehold Strata,340.06,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2465048,# 403 5667 SMITH AVENUE,Burnaby,Central Park BS,1,1,Apartment,"1 Storey, Upper Unit",2020-06-20,449000,449000,449000,685,23,1997.24,Freehold Strata,242.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2435189,# 105 5577 SMITH AVENUE,Burnaby,Central Park BS,1,1,Apartment,"Corner Unit, Ground Level Unit",2020-02-18,405000,399000,399000,780,23,1817.21,Freehold Strata,303.5,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions, Smoking Restrictions",APT
R2439212,# 1 3701 THURSTON STREET,Burnaby,Central Park BS,2,2,Townhouse,,2020-03-02,590000,548000,548000,1125,28,2301.7,Freehold Strata,276.51,"Pets Allowed with Restrictions, Rentals Not Allowed",CD
